tweet_id	text	author_id	in_reply_to_user_id	replied_to	mentions	quoted	retweeted
1596548703049109506	"@gabdem5 @Tinker07235497 @alana_ell @ItsSamG don’t show up in the middle of winter hundreds of miles from home, to sit on the front lawn of Parliament (figuratively speaking) just to have a ‘chat’. There are means and channels to do that. 

No, I’m not a naive bootlicker. I know it doesn’t always work, that there’s road-"	1487338325941927938	1.487338325941928e+18	1.59654826048691e+18	['1176220056642101251', '1347436071143948291', '1307405253155799041', '166415961']		
1596548703065501696	All higher education should have been free, so make it free. @POTUS Heroes act left out doctors, nurses and teachers during Covid, use HEA instead to #CancelALLStudentDebtNOW by Executive Order! @SenSchumer @SenWarren @RepJayapal  @RoKhanna @Trevornoah @colbertlateshow @maddow https://t.co/I8KEMK62A1	901100663748284416			['1349149096909668363', '17494010', '970207298', '815733290955112448', '771152516', '46335511', '2835886194', '16129920']	1.5959496093688381e+18	
1596548703526916096	RT @David__Osland: Some people are more angry with nurses for going on strike than they are with Michelle Mone for selling nurses defective…	208685195			['3407247983']		1.596149201657688e+18
1596548704789757952	Covid, influencer o ndojerai	1390878323732107271					
1596548704789352448	"RT @MadamMiaow: Briliant THREAD about Taiwan's ""suicide net"" Foxconn factory and its labour dispute, falsely presented in the western media…"	312036661			['15704681']		1.596191827136516e+18
1596548705406324736	@seeksboston26mi @ctrssierra Vaccine induced illness (whether it should be called long covid or something else yet is debated) is recognized by experts studying long covid. It's not fully understood yet but is on the radar.	268172656	73212095.0	1.596260071595737e+18	['73212095', '799660594278387714']		
1596548705574088705	RT @David__Osland: Some people are more angry with nurses for going on strike than they are with Michelle Mone for selling nurses defective…	125371283			['3407247983']		1.596149201657688e+18
1596548705842102273	RT @JoJoFromJerz: They didn’t care when he mocked a disabled man, bragged about sexual assault, lied about a pandemic, incited an insurrect…	51687580			['818893114979061761']		1.596539673190359e+18
1596548705871699971	"RT @NewMillPaul: Did I tell you about the time my son failed his driving test for the second time?

He was really upset, so trying to be a…"	100331003			['1160306562663165962']		1.5958698356233748e+18
1596548706198687745	RT @Irene_Cara: To everyone who has taken the time to express their grief, thank you. For those who are posting spam about cryptocurrencies…	3170138724			['71593066']		1.59654299954611e+18
1596548706245152768	RT @MeghanWalsh_: Covid was created to say that it is a TRAUMA that happened to us all and now they will offer the solution ... big pharma.…	15739191			['1443788777328201730']		1.5965420960761774e+18
1596548706459070464	"Here We Go: CDC Says It’s Monitoring a New Covid Variant Known as “XBB” – Deemed ‘Most Vaccine Resistant Strain Ever’
https://t.co/0PBprf2bvD https://t.co/EauzAhSYg9"	1525997184839057408					
1596548707620642816	@kittenhawk1 @JamesBradleyCA Thatbpointbis valid, however it tells a different story than the first valid point. I could say only 40% of covid survivors are vax’d. Same data, MAJOR difference in story.	762528336	7.702472089563423e+17	1.596526727697924e+18	['770247208956342272', '1112724144427139072']		
1596548708723736576	"RT @ReticentTurnip: Early in the pandemic, COVID was a conspiracy intended to somehow strip us of our basic human rights.

Now the crisis i…"	305085572			['2400798296']		1.5965438439266796e+18
1596548708811698177	"RT @GYamey: 🗽💉 The return on investment of New York City’s Covid-19 vaccine campaign:

Every $1 invested in vaccination yielded estimated s…"	552313368			['941675887']		1.5965160869332255e+18
1596548709231521793	"RT @reece_dinsdale: SNOUTS IN THE TROUGH!!!
Tory peer Michelle Mone reportedly pocketed £29m of public money for unsafe PPE. The Lords must…"	1441913757676888064			['834818979688546308']		1.5964331728829317e+18
1596548710024228864	"RT @1goodtern: Let's join these up:
1) SARS-CoV-2 savages kids' immunity.
2) Strep A exploits that vulnerability.
3) then this: https://t.c…"	1112183338926661632			['960817018193764352']		1.596547338247762e+18
1596548710573682688	"RT @i_nautilus: Questions a sane person might ask: ""Why can't money wasted on useless PPE not be refunded? If it's faulty or not fit for us…"	2794951337			['153490014']		1.5964086592731382e+18
1596548711412563968	RT @TomFitton: Court rejects San Diego school district's COVID vaccine mandate https://t.co/3EruGFXZbM #FoxNews	815238020			['18266688']		1.596239833432744e+18
1596548711630381057	"Lock him up! Lock him up!

How many lives were lost or destroyed by Fauci and Birx? The lockdown “mastermind” Birx should not be letter of the hook!

Fauci emailed friend saying masks were 'ineffective,' pushed for mandates anyway, Missouri AG says

https://t.co/COPge9RFxU"	1152608898186121216					
1596548712045907968	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	2828808222			['78523300']		1.5965153365722767e+18
1596548712381042688	"RT @LarsenDisney: 58% of coronavirus deaths in USA in August were people who were vaccinated or boosted- A percentage that rose all year.
T…"	1381293110924300288			['1407325605809606669']		1.5964517885337764e+18
1596548711815221248	"We must demand an investigation by the UK government #stoptheshots #excessdeaths 
#vaccineinjuries &amp; ask why have so many young healthy adults just #DiedSuddenly https://t.co/yntSAkFh7s"	60136675				1.5964928359264543e+18	
1596548713018585088	"RT @uytimes: (1): A large scale protest broke out in Urumqi against the strict lockdown following the death of 44 Uyghurs in a fire. 
Accor…"	252905322			['1277982133772906504']		1.5961921025550828e+18
1596548714260217857	RT @Iancoll94354676: PPE is a huge scandal waiting to happen. Jenrick announced the imminent arrival of PPE from Turkey on live TV before i…	1217473086867591168			['902620050636595203']		1.5964961273685197e+18
1596548714726060032	RT @JonathanTurley: ...These companies were fine with Twitter censoring free speech and blocking stories like the Hunter Biden laptop scand…	2473355491			['94784682']		1.5962733268756316e+18
1596548715204210692	"RT @forpetersake: Why did those clever scientists, the ones that know everything, lie about the vaccine?

Why?"	1218234775250571265			['1387695434']		1.595997516448895e+18
1596548715959177218	@Dakota599S @RepAndyBiggsAZ More than 58% vaccinated died in August with Covid.	1486537972853923843	1.5952266846172774e+18	1.5964545060149043e+18	['1595226684617277443', '816652616625168388']		
1596548716009332737	RT @EpsilonTheory: Most important thing you’ll see this week. Wide-scale protests across Xinjiang in response to terrible fire on Nov. 24,…	46299058			['1615557272']		1.5965481909034557e+18
1596548714986098689	@RatioAlex @nytimes Nice try Champ, but your fascists mandating vaccines are a threat to our country. The data is in and good news! You vaxxed are statistically passing on to your makers than us clean. Fauscist, last words when he retired was to TAKE MORE! https://t.co/3dTwFoK4KH	1594294898919866370	467436557.0	1.5965467871287828e+18	['467436557', '807095']		
1596548716248576000	"RT @aeropatlane: Dear all,
Bio updated to tell a little more about me. 

Since first lockdown I tried to find audio talk, former bandmates…"	703532922146521088			['150800030']		1.416503051440083e+18
