tweet_id	text	author_id	in_reply_to_user_id	mentions	retweeted	replied_to
1596402389338058752	Want to work as a Remote Smart Contract Engineer (📍Worldwide) at @riftfinance? #design #crypto #system #remotework #remotejobs #wfh 👇 https://t.co/9tkoDoVLry	2938471462		['1400661553750368256']		
1596402389623668736	RT @TheJikky: I admire this guy so much. From no understanding of medicine or cell biology he has spent 2 years reading everything he could…	1482765169474297856		['1587714804004794368']	1.5963012199661117e+18	
1596402390252474368	.@bitmex is now hiring! Looking for a Remote Detection and Response Engineer Latin America (📍Remote - Americas) #amazon #cryptocurrency #security #remotework #remotejobs #wfh 👇 https://t.co/yB2ufZzcYi	2938471462		['2439495535']		
1596402390655279104	"RT @Anti__Globalism: How much are the unwitting sheep being paid to participate in Fauci's extended human mRNA ""vaccine"" trials? https://t.…"	405975766		['1551015498636070912']	1.5963547846675128e+18	
1596402392450633728	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	847944989816573952		['28197128']	1.5962430017347502e+18	
1596402392412876801	@scurry_1 @tnorris1977 @SParnis Only for a very limited period. If they are not on the table now, then they always were ineffective. Clearly premiers felt energised by the lockdown feeling empowered to overreach. It was not about health.	280879625	317547206.0	['317547206', '1420502925416169476', '961299362']		1.59640060443981e+18
1596402392739758080	The leaked documents, which were compiled by HSBC, show PPE Medpro paid at least £65m in profits to Mone’s husband, the Isle of Man-based financier Douglas Barrowman https://t.co/D1rYPsF07N	716009929				
1596402393599868928	RT @usasharenews: At least wear a mask on the bus https://t.co/0CEz8FYTfq	132808558		['1476165846057644034']	1.5963669441265254e+18	
1596402394359025664	RT @holyliberation1: The dirty sneaky general Eric Bucquet is a criminal who administrate torture,murder, human trafficking,brain-washing,…	1250629380398874625		['1551124902131879937']	1.5962792532090593e+18	
1596402395017248768	RT @BernieSpofforth: CHINA - 100 million people now back in lockdown, QR codes turned red by the State to prevent any movement, unless it’s…	88176228		['755135678422327296']	1.5960426335535186e+18	
1596402395080073217	"RT @FinchTH: @karamballes The * is standing in for the letter c

I am saying that apparently she has sex with Covid 

In case that wasn’t c…"	388602710		['528714399', '1283900598']	1.5958250233692447e+18	
1596402395164000256	@BigBadDenis @DanielAndrewsMP Labor lost my vote because they didn’t care about COVID deaths and long Covid. In Northcote too, where it counts. Greens might win here today 🤞🏽🍀	268258453	1.0653970592624148e+18	['1065397059262414848', '228535666']		1.5962638259927122e+18
1596402395512438785	RT @LegendaryEnergy: BREAKING: The Washington Post now admits it’s not a pandemic of the unvaccinated &amp; vaccinated people make up a majorit…	1586051119562002432		['226194552']	1.5954667466845266e+18	
1596402395541831680	RT @KimDotcom: The #DiedSuddenly documentary creates a panic amongst the propaganda media which has sold the Covid vaccines 24/7. That’s gr…	1526371192558321665		['611986351']	1.5961710505467617e+18	
1596402395273392128	"@JohnWest_JAWS @AmandaGwynne It should be decreed that there be a month long annual lockdown across the globe where people get downtime and the natural world peace and tranquility. 
The Parisiens had it right when everything used to completely shut down in August."	1172612983807238144	1.1084774405176566e+18	['1108477440517656576', '81099518']		1.5943919862404751e+18
1596402396837863424	RT @DrJBhattacharya: The 9th circuit's irrational ruling ignores the scientific fact that the vax does not stop disease transmission. Even…	1237364332146688002		['1427361863830949908']	1.5963901164228444e+18	
1596402397416689664	RT @kurtnorman73: How has your #Security system fared amid a global pandemic and increasing #Ransomware? I’m tuning in to CDW's Executive S…	710123736175783938		['179283753']	1.596401885350482e+18	
1596402397953155237	"RT @MeetJess: We have to realize that 2019 life isn’t coming back. COVID will be with us for many years. 
« Living with it » for me means f…"	1437852045739012105		['312412918']	1.5962674021359985e+18	
1596402398817198080	RT @Justaranch: Remember the Christmas holidays where families were storing their loved one in refrigerator trucks and burning bodies in ma…	1543644894941642754		['779766160774443009']	1.5963552097139098e+18	
1596402399022809091	RT @AnTheFacts: 🔥Jean Mondoro: This Thanksgiving, Americans were able to celebrate pro-life victories together,reflect on challenges ahead…	900113336		['1394656148884701185']	1.5962662298656154e+18	
1596402400142962688	"RT @guyverhofstadt: Everyone went through the pandemic &amp; goes through the war in Ukraine. 

Ireland is the best, UK worst performer… I wond…"	182784443		['856010760']	1.5953679300275118e+18	
