tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	replied_to
1596452146983358464	"RT @reece_dinsdale: SNOUTS IN THE TROUGH!!!
Tory peer Michelle Mone reportedly pocketed £29m of public money for unsafe PPE. The Lords must…"	295941780		1.5964331728829317e+18	['834818979688546308']	
1596452148237197312	RT @urbanbarb: @SkyNews On record that @MattHancock &amp; pathological liar @BorisJohnson knew about asymptomatic transmission of Covid yet the…	87742441		1.5964360381672366e+18	['826784984', '7587032', '19825835', '3131144855']	
1596452149281624064	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	1374735200995971082		1.5964351920208773e+18	['1552407495255199745']	
1596452149524717569	RT @macastel3: 3 years wasted on building quarantine camps, testing sites, employing millions of people just to lock down others and the nu…	1546847818492432384		1.5963840645036155e+18	['14140433']	
1596452151056039936	"RT @yaneerbaryam: “Long-term neurologic outcomes of COVID-19,” Nature Medicine, 2022.

""Researchers at Washington University built a giant…"	32655519		1.5957548599991624e+18	['252608121']	
1596452150867300353	Tory peer Michelle Mone reportedly pocketed £29m of public money for unsafe PPE. The Lords must kick her out of Parliament and force her to pay back every penny. Agree? Join me and sign the petition now: https://t.co/F2yJJWPEqT	3179138337				
1596452151877808129	RT @ReutersWorld: China reports third consecutive daily record for new COVID cases https://t.co/jqi4Mm90gB https://t.co/lyxi8pwPfZ	57871742		1.5964235734884106e+18	['335455570']	
1596452151899099136	RT @PeterWMurphy1: As a Sydneysider, what do I remember most about Victorian Premier @DanielAndrewsMP? During the Covid pandemic, at the da…	16733080		1.5958930099497656e+18	['2608740770', '228535666']	
1596452151919710208	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	777770768		1.5962430017347502e+18	['28197128']	
1596452152121397248	@Chesschick01 The hospital 'Covid' patient propaganda videos featuring crisis actors speaking to journalists on the news through CPAP masks, whilst apparently being on ventilators, celebrities and politicians pushing the 💉💉and the ridiculous two-metres apart rule.	775978039	36134346.0		['36134346']	1.596216988145025e+18
1596452152511176704	"Check out @rewardy_app where you can earn real money online by watching streams!

Sign up to Rewardy using my link to get started with a bonus!
https://t.co/glwjV6XYgU

 #win #gift #card #steamwallet #deals #workfromhome #makemoneyonline"	77728719			['1413644659247783936']	
