tweet_id	text	author_id	in_reply_to_user_id	replied_to	mentions	retweeted	quoted
1596504528702279682	@RaghunandanraoM @AmitShah @BJP4Telangana Tell me what is the Pulse of the people. PEO need jobs, PEO need answer's why they're paying 28% in all products after corona, PEO why can't they get free edu &amp; free med as equally? Or just tell to your constituency PEO with your MP grants how are came out from poverty.	851466861120180224	8.336164708736901e+17	1.5964929236335616e+18	['833616470873690114', '1447949844', '758217523506667520']		
1596504528840441862	Lifestyle choices—such as eating healthy, staying active as well as resting after exercise, and managing stress—may help prevent people from developing severe COVID-19 and mitigate post-infection conditions and symptoms, reports a new CU Boulder paper. https://t.co/fwZ6x18jeV	833052173374156800					
1596504529251409921	"RT @Ghg69564194: A video of an audio statement in Arabic titled:
Let Whoever Hates Me Dig Their Own Grave ..
19— Rabi’ Thani — 1444 AH
13—…"	2170970741			['1526288589012754432']	1.5964988654228316e+18	
1596504530119688192	RT @maxwellsmith: Right-handed people make up a majority of covid deaths.	210198155			['16405235']	1.5963499164730655e+18	
1596504530190942208	The future of harmless QR codes. Let the sink in whenever you see a QR code. https://t.co/BSAdtEZjB5	1490120459534454784					1.5960601631230648e+18
1596504530505854976	RT @TomFitton: Court rejects San Diego school district's COVID vaccine mandate https://t.co/3EruGFXZbM #FoxNews	4142479683			['18266688']	1.596239833432744e+18	
1596504529792540673	@theGrit_music My oldest daughter has got a sore throat so need to give her a covid test  But Glenn is decorating in the  The room and they are in this wardrobe👇 (She's sitting in a different room too us  anyway and not going anywhere) 🍀🤞 https://t.co/ldYn1JTwFO	844282701687541760	1.3840539166905713e+18	1.5964939124152156e+18	['1384053916690571264']		
1596504531021582337	RT @SSRConspiracy: Fuck off !	1393602845350506497			['1272744985729720322']	1.5964590505015665e+18	
1596504531667652608	RT @RepThomasMassie: End your autocratic vaccine mandates on front line workers.	1472471216678060033			['975200486']	1.5964569439329567e+18	
1596504531566731267	"Dr. Burt Zweigenhaft, Co-founder of the Association for Value-Based Cancer Care, discusses the importance of #patientcentricity, current barriers, and how COVID-19 has affected #oncology care delivery and research. https://t.co/KFrokyi7Ho

#cancercare #valuebased"	247563643					
1596504531814080513	RT @TheUSARocks: Have you asked yourself WHY we allowed Chinese police stations here on US soil?!?	1457444024965636106			['315230262']	1.5965042757686026e+18	
1596504531231248384	"Food Safety Tip: As you prepare for holiday cooking and baking, wash your hands before, during and after preparing foods, and separate raw meats from ready-to-eat foods to avoid contamination.

#Safety #SafetyTip #FoodSafety #FoodPrep #SaferEveryDay https://t.co/jP6RBGLNyk"	153473883					
1596504532741242882	RT @CitizenFreePres: Zero Covid policy in China has been an absolute failure https://t.co/mBKk4DHrWz	1588956363484430344			['18929234']	1.5965021138693038e+18	
1596504532917583873	@Ojeda4America Sure.... all the bs lies,that msnbc,abc,cbs,nbc,told about Trump, covid, woke stuff, Sure	516586447	2290583342.0	1.5962082383279063e+18	['2290583342']		
1596504533307654144	RT @versetsfreak: Oldie but Goldie 🤤 Back when covid was still a thing my ATL bae use to come over and we use to fuck down it’s the passion…	1466443551286435844			['1582908079510675458']	1.5963687276032246e+18	
1596504532082520066	"Food Safety Tip: As you prepare for holiday cooking and baking, wash your hands before, during and after preparing foods, and separate raw meats from ready-to-eat foods to avoid contamination.

#Safety #SafetyTip #FoodSafety #FoodPrep #SaferEveryDay https://t.co/pVzRI2JjD0"	167419811					
1596504533588668420	"RT @SaltyFlGrl: @WhiteHouse No. Unvaccinated and staying that way.

P.S. I haven’t had Covid either."	1210985902211600384			['1374231879092731904', '1323730225067339784']	1.596480666258264e+18	
1596504534163296258	"RT @NewsHour: New COVID-19 cases and deaths are up from two weeks earlier. 

Yet, a fifth of the U.S. population hasn’t been vaccinated, mo…"	114865303			['14437914']	1.5962624775533486e+18	
1596504534289088513	"RT @david_conn: PPE Medpro: Michelle Mone-linked firm declines to say how it would repay millions if told to do so;

Government paid £122m…"	914319410000748545			['89236161']	1.5962104121474703e+18	
1596504534385594369	"RT @drclairetaylor: 22/ Covid is not a respiratory disorder, it is a disease of the blood vessels. 
We have 60,000 miles of blood vessels i…"	139383409			['1513942742715584520']	1.595244408102097e+18	
1596504534549139456	"@RonnyJacksonTX Simply assume a Republican has Covid or some sort of transmissible ailment and avoid them. 

These didn’t just go away. Thinking of people who couldn’t do Thanksgiving this year because Republicans got them sick."	1227250339616829441	1.2019534030998938e+18	1.59539260522283e+18	['1201953403099893760']		
1596504534892806146	"RT @Yash25571056: Prof. Quentin Grafton (Australian National Univ.) et al. wrote,
""..Australians should expect an escalating accumulation o…"	1267474997485977606			['1106609504693567488']	1.5963040903716168e+18	
1596504534867640322	RT @prof_freedom: Thanks to @elonmusk, some great Covid accounts &amp; scientists will soon be making their Twitter comeback. Here's a list of…	2442436981			['1252542024299012097', '44196397']	1.596502738170364e+18	
1596504535690006530	RT @EricMMatheny: How can you listen to this and hear anything other than, “You’re not going to get COVID if you have these vaccinations?”…	1519468938488336385			['2730264319']	1.596494930171818e+18	
1596504536352718848	"RT @sailorrooscout: Them: The COVID-19 vaccines don’t work. The majority of hospitalizations/deaths/infections are fully vaccinated. 

Me:…"	543459892			['3140868280']	1.5961740736120914e+18	
1596504536663089153	Ahead: voting in GA on another Senate runoff. Then the rising protest in China over Covid restrictions. And @DanielEstrin o a controversial government minister in Israel.	20245775			['22425840']		
